product_name,description,product_manufacturer,ASIN,prod_description,url
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","Care Instructions: Wipe with Damp Cloth.CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Black, Water resistant: Yes.PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 40 cm, Capacity: 16L, Fits up to a 15.4” laptop.MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve..HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access.MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)",Designed By Mokobara Lifestyle Private Limited,B0BR7N3KF4,not_provided,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODU0MTIxODY2NDczMTkyOjE2ODUwNDgzMjk6c3BfYXRmOjIwMTE3Nzk1ODczODk4OjowOjo&url=%2FMOKOBARA-Backpack-Leather-Resistant-College%2Fdp%2FB0BR7N3KF4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685048329%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,"Care Instructions: Wipe with Damp Cloth.CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Light Brown, Water resistant: Yes.MOST FEATURE RICH BACKPACK: Front bucket pocket: Retractable key holder, Card holder, Slip pockets, Zippered pocket, Flat opening tech compartment: 5 pockets to store all your tech accessories, Padded laptop compartment with lock strap, Fits up to a 16” laptop.INDUSTRY BEST FUNCTIONAL BACKPACK: 2 Hidden bottle/umbrella pocket, Hidden magnetic passport pocket, 10 thoughtfully designed pockets, Luggage sleeve, Silicon grab handle, Padded shoulder straps, Easy length adjustment buckles.MAXED OUT STORAGE: Dimension: 48 x 31 x 16 cm, Capacity: 24L.MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)","Designed By Mokobara Lifestyle Private Limited, Bangalore.",B09V7R98XC,"Our Most Functional backpack EverThe Mokobara Transit Backpack is designed for everyday use and for those short 1-2 day trips. With its minimalistic facia and the 180° clamshell opening, this is definitely another kick- a** backpack from Mokobara. Be it the hidden water bottle/umbrella compartment or the retractable key holder, accessibility has been tremendously evolved. This one is our most functional backpack ever.Front Bucket PocketCan easily hold up to 2 days change of clothes, along with your other travel essentials.2 x Expandable bottle/umbrella pocketsExpandable side pockets that zips open to fit a water bottle or umbrella.Secret pocketBody blended magnetic pocket for passport, boarding pass, and cellphone.Luggage sleeveThe built-in luggage sleeve secures to any Mokobara suitcase for a smooth ride.Water ResistantHigh-quality water-resistant polyester fabric body.The Transit Backpack - Our most functional backpack everPremium BuildCrafted with durable, water-resistant materials and premium zippers.Internal Organisation SystemFront compartment houses a retractable key holder, cardholder, pen pockets, slip pockets and a zipper pocket.Tech CompartmentSeparate tech compartment with 5 pockets at the back to hold your laptop, ipad, books and chargers securely.Easy AccessPadded laptop compartment that fits upto 16 inches of laptop with a strap lock & a 180 ° flat opening for easy access.Bottle/Umbrella PocketsHas two hidden water bottle/umbrella compartments. Can fit up-to 1L water bottle easily.Made For ComfortHas a silicon grab handle & nicely padded shoulder straps for extra comfort. Straps features easy length adjustment buckles.Hidden PocketBody blended magnetic pocket for passport, boarding pass and cellphoneDesigned For Modern TravelLuggage sleeve secures to any Mokobara suitcase for a smooth ride.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODU0MTIxODY2NDczMTkyOjE2ODUwNDgzMjk6c3BfYXRmOjIwMTE3Nzk1ODcxNjk4OjowOjo&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685048329%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass..Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics..Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body..Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty.Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",Wesley,B084JGJ8PF,"Ergonomic Contoured ShapeWith a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!Fits Your LaptopTake your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.Strong and LightweightDesigned with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.Padded Back StrapsThe back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.Spacious StorageFeaturing 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.Back SupportIt won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.A Bag for any weatherBe it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685048329&sprefix=ba%2Caps%2C283&sr=8-3
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No.Outer Material: Polyester, Color: Black.Water Resistance: Water resistant , not Waterproof.Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters.Number of Wheels: 0, Number of compartments: 3.Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of.Mesh pockets on both sides to accommodate your sipper or bottle and umbrella.Mesh Padding on back & shoulder strap to provide comfort & better back support",Samsonite,B07CJCGM1M,not_provided,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685048329&sprefix=ba%2Caps%2C283&sr=8-4
Skybags Brat Black 46 Cms Casual Backpack,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,.Water Resistance Level: Not Water Resistant.Size: 35 x 13 x 46 cms",VIP Industries Ltd,B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685048329&sprefix=ba%2Caps%2C283&sr=8-5
"Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste","100% OXO-BIODEGRADABLE: The materials used to make these bags are 100% eco-friendly. They are oxo-biodegradable which means that they break down in the open environment like nature’s wastes but quicker and without leaving any toxic residues or plastic fragments behind..TEAR-RESISTANT: Sirona’s ‘I Love Clean’ Disposable Sanitary Bags are made using extra-durable plastic. It has thick double seams to hold your waste in- without ending up with rips and tears..SUPER-SEALED: The Sirona Sanitary Disposal Bags come with built-in glue which seals perfectly. The leak-proof design keeps the bacteria and wetness where it belongs making your surroundings safe and hygienic..MULTIPURPOSE: These oxo-biodegradable bags from Sirona are large enough for the hygienic and sanitary disposal of used feminine hygiene items, baby diapers, adult diapers, wet wipes and the disposable PeeBuddy..ODOUR-LOCK: Lock the smells of your waste in- just stick and seal to cancel out any unpleasant odours that have the possibility of emanating from these disposable bags. This is perfect for when you are travelling and can’t bin the waste.","First Step Digital Pvt Ltd, Plot No.382, First Floor, 100 Feet Road, Ghitorni, New Delhi - Delhi - 110030",B01NAZVN8M,"Now Bigger & Better! Worried about disposing your Sanitary & Intimate Products? Made in India, 'I Love Clean' by SIRONA are Cute Oxo BioDegradable Disposable Sanitary Bags & are best for Hygienic Disposal of Intimate Care Products (Sanitary Pads, Tampons, Panty Liners, Baby Diapers, Condoms, PeeBuddy) or General products (which need discreet disposal). No More Black Plastic Bags, No More Newspaper. Now use I LOVE CLEAN. The bags are tear resistant and seal perfectly to ensure zero bad odour or leakage.",https://aax-eu.amazon.in/x/c/RI2wFnHLiy09LI4_A2JC05MAAAGIVLUFTwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBhsVek/https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M/ref=sxin_14_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01NAZVN8M&pd_rd_r=56e3357d-7d37-4505-aa6c-e9453835e7f0&pd_rd_w=Po5Y7&pd_rd_wg=xZzVB&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=BV8KWHN3C1PADTJP8PTP&qid=1685048329&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),"DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm..DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old..PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids..USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items..GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.",Blue Tree,B08WWG91Q3,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_15_trfob_0_B08WWG91Q3?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=56e3357d-7d37-4505-aa6c-e9453835e7f0&pd_rd_w=BaMQr&pd_rd_wg=xZzVB&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=BV8KWHN3C1PADTJP8PTP&qid=1685048329&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent","MULTIPLE USAGE: Drawstring plastic bag is designed in a way to be useful for many functions. Use it as drawstring shoe bag, clear gift bags for favors, traveling. Pack everything in clear plastic bags (packing toys, stationery, shoes, clothes, cosmetics) and keep it safely and comfortably!.PLASTIC TRAVEL BAGS: Travel shoe bags for packing are unprinted and feature impressive durability, so you can use clear drawstring bag as main means of storing for personal and business purposes..HIGH QUALITY MATERIAL- The PE storage bags are made of high quality Chlorinated Polyethylene (CPE) sheet which is famed for its good features . the translucent feature helps us to easily view what is inside the bag.KEY FEATURES- Package Includes 2 Pcs Travel Plastic Bags , the quality drawstring plastic bags have flat edges with a 16"" height and 11"" width plus an extra 2"" bottom gusset.it has 2 cotton strings to pull and secure the bag and the contents..CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.",Blue Tree,B09SB42QFQ,"High Quality Space SavingLong LastingDurableEasy to useSpace SavingMulti-Purpose:Reusable and versatile storage, cosmetics, sports equipment, gymnastics clothing,Use it for shoes, toiletries, and just about anything!Convenient to Use:Retractable storage bag with drawstringIt can store a variety of items, such as clothing, shoes, underwear, accessories, cosmetics, etc.It can meet all your demand, such as business trips, traveling, etc.Find things at a glanceSuperior water resistanceConcise storage, goodbye to clutterThe shape is a drawstring type that is easy to put in and take out, and the contents are separated, so you can easily find the clothes you need. Airport safety inspection makes it even smoother.This is the perfect travel pouch.Divide photographic accessories, equipment, travel convenience, accessories for going out, cosmetics, clothing, underwear, swimwear, toiletries, adapters, gadgets, office supplies, business items, etc.Store and organize your bags and bagsLightweight, mildew resistant, non-flavored and durable and flexibleThe storage bag is made of highly waterproof material, so it is convenient for storing wet clothes, raincoats, and swimsuits.It can meet all your demand, such as business trips, traveling, etc.",https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sxin_15_trfob_1_B09SB42QFQ?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB42QFQ&pd_rd_r=56e3357d-7d37-4505-aa6c-e9453835e7f0&pd_rd_w=BaMQr&pd_rd_wg=xZzVB&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=BV8KWHN3C1PADTJP8PTP&qid=1685048329&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a
blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow),"?DIMENSION:15x3.5x12inch/38x8x30cm(WxDxH).Weight:0.32kg/0.7lb. Front Pocket:12x9inch/30x23cm(WxH) Soft adjustable & breathable shoulder straps:8inch-20.8inch/20cm-53cm. <br>.? CUTE DESIGN:Made of super soft plush material and high quality smooth zipper accessories. Small backpack suitable for toddler baby kids girl and boy between 1-6 years old. <br>.? SPACIOUS:The toddler backpack presents a main compartment with cotton interior, which is large capacity and long-lasting. Perfectly for keeping and organizing books, toys, pencils and snacks, etc. With the matching pullers and smooth zippers, children could open and close the backpack easily. The front pocket is for keeping the small stuffs easy to reach. <br>.? Material:Non-Toxic And Soft Fabric good quality and Washable Soft And Cuddly Filling, Made By India And Embroidery Bag; ? Great Gift:Cute and Cool animal toddler school backpacks, Great Gift for kids with Lovely animal attractive design, Perfect for children going out for travel, preschool and Daycare center. <br>.Closure Type: Buckle <br>",Vancouver Store,B09H3H3898,"Excellent makeThe bag is constructed with soft, high-quality, and non-toxic material that adds to its durability and ensures long-lasting usage.Fabricated with front pocketIt has a sturdy and smooth zipper and a front pocket with an adjustable and breathable shoulder strap that is easy to carry for kids.Ideal for outingsGift this cute bag to kids and make their picnics and school time fun while helping them carry their stationary in this spacious bag.",https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_15_trfob_2_B09H3H3898?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=56e3357d-7d37-4505-aa6c-e9453835e7f0&pd_rd_w=BaMQr&pd_rd_wg=xZzVB&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=BV8KWHN3C1PADTJP8PTP&qid=1685048329&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a
Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag),"Non-Toxic and Soft Fabric Made from Safe Materials to be used by Kids.; Soft And Cuddly Filling Printed work<br> <br>.Premium quality light Weight MINIONS bag especially for Kindergarten boys and girls baby. Suitable for 2 to 5 Years Kids.<br> <br>.Adjustable strap and enough space for children's things like toys, lunch box, fruits, small books, pencil box and other stationery items<br> <br>.Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth and cuddly teddy as a great gift to your loved one<br>; Closure Type: Zipper; Special Features: Lightweight <br>.Water Resistance Level: Water Resistant <br>","vancouver store, Vancouver.store013@gmail.com",B07XJHP2C7,"About the ItemCUTE DESIGN:Made of super soft plush material and high quality smooth zipper accessories. Small backpack suitable for toddler baby kids girl and boy between 1-6 years old.SPACIOUS:The toddler backpack presents a main compartment with cotton interior, which is large capacity and long-lasting. Perfectly for keeping and organizing books, toys, pencils and snacks, etc. With the matching pullers and smooth zippers, children could open and close the backpack easily. The front pocket is for keeping the small stuffs easy to reach. Material:Non-Toxic And Soft Fabric good quality and Washable Soft And Cuddly Filling, Made By India And Embroidery Bag; ? Great Gift:Cute and Cool animal toddler school backpacks, Great Gift for kids with Lovely animal attractive design, Perfect for children going out for travel, preschool and Daycare center.",https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7/ref=sxin_15_trfob_3_B07XJHP2C7?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XJHP2C7&pd_rd_r=56e3357d-7d37-4505-aa6c-e9453835e7f0&pd_rd_w=BaMQr&pd_rd_wg=xZzVB&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=BV8KWHN3C1PADTJP8PTP&qid=1685048329&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a
